dt_8601,speed,count
2014-11-26T06:25:00,74,51
2014-11-26T06:30:00,70,55
2014-11-26T06:35:00,71,59
2014-11-26T06:40:00,72,63
2014-11-26T06:45:00,72,75
2014-11-26T06:50:00,70,66
2014-11-26T06:55:00,75,24
2014-11-26T07:00:00,72,79
2014-11-26T07:05:00,70,56
2014-11-26T07:10:00,68,79
2014-11-26T07:15:00,68,75
2014-11-26T07:20:00,71,94
2014-11-26T07:25:00,76,112
2014-11-26T07:30:00,72,108
2014-11-26T07:35:00,71,89
2014-11-26T07:40:00,68,62
2014-11-26T07:45:00,73,100
2014-11-26T07:50:00,76,107
2014-11-26T07:55:00,74,90
2014-11-26T08:00:00,72,113
2014-11-26T08:05:00,72,128
2014-11-26T08:10:00,75,106
2014-11-26T08:15:00,75,96
2014-11-26T08:20:00,76,116
2014-11-26T08:25:00,75,82
2014-11-26T08:30:00,77,115
2014-11-26T08:35:00,77,106
2014-11-26T08:40:00,76,107
2014-11-26T08:45:00,71,104
2014-11-26T08:50:00,72,128
2014-11-26T08:55:00,75,84
2014-11-26T09:00:00,73,142
2014-11-26T09:05:00,71,105
2014-11-26T09:10:00,75,127
2014-11-26T09:15:00,77,146
2014-11-26T09:20:00,76,134
2014-11-26T09:25:00,74,152
2014-11-26T09:30:00,73,130
2014-11-26T09:35:00,75,85
2014-11-26T09:40:00,73,137
2014-11-26T09:45:00,72,163
2014-11-26T09:50:00,74,158
2014-11-26T09:55:00,73,187
2014-11-26T10:00:00,74,139
2014-11-26T10:05:00,76,94
2014-11-26T10:10:00,74,102
2014-11-26T10:15:00,3,0
2014-11-26T10:20:00,73,144
2014-11-26T10:25:00,71,139
2014-11-26T10:30:00,68,168
2014-11-26T10:35:00,73,150
2014-11-26T10:40:00,74,144
2014-11-26T10:45:00,76,83
2014-11-26T10:50:00,75,141
2014-11-26T10:55:00,77,138
2014-11-26T11:00:00,73,179
2014-11-26T11:05:00,74,79
2014-11-26T11:10:00,76,170
2014-11-26T11:15:00,73,141
2014-11-26T11:20:00,72,172
2014-11-26T11:25:00,77,144
2014-11-26T11:30:00,74,163
2014-11-26T11:35:00,73,186
2014-11-26T11:40:00,71,147
2014-11-26T11:45:00,71,103
2014-11-26T11:50:00,75,195
2014-11-26T11:55:00,70,180
2014-11-26T12:00:00,71,139
2014-11-26T12:05:00,73,105
2014-11-26T12:10:00,75,172
2014-11-26T12:15:00,71,132
2014-11-26T12:20:00,73,168
2014-11-26T12:25:00,72,63
2014-11-26T12:30:00,70,154
2014-11-26T12:35:00,70,196
2014-11-26T12:40:00,77,106
2014-11-26T12:45:00,76,156
2014-11-26T12:50:00,59,173
2014-11-26T12:55:00,71,154
2014-11-26T13:00:00,70,191
2014-11-26T13:05:00,74,122
2014-11-26T13:10:00,75,207
2014-11-26T13:15:00,74,138
2014-11-26T13:20:00,73,173
2014-11-26T13:25:00,74,173
2014-11-26T13:30:00,71,161
2014-11-26T13:35:00,72,140
2014-11-26T13:40:00,70,157
2014-11-26T13:45:00,70,174
2014-11-26T13:50:00,72,167
2014-11-26T13:55:00,74,147
2014-11-26T14:00:00,73,191
2014-11-26T14:05:00,67,220
2014-11-26T14:10:00,67,135
2014-11-26T14:15:00,70,133
2014-11-26T14:20:00,69,141
2014-11-26T14:25:00,71,168
2014-11-26T14:30:00,72,134
2014-11-26T14:35:00,72,168
2014-11-26T14:40:00,70,123
2014-11-26T14:45:00,73,185
2014-11-26T14:50:00,78,133
2014-11-26T14:55:00,76,181
2014-11-26T15:00:00,73,165
2014-11-26T15:05:00,73,181
2014-11-26T15:10:00,71,192
2014-11-26T15:15:00,70,162
2014-11-26T15:20:00,69,191
2014-11-26T15:25:00,67,191
2014-11-26T15:30:00,68,117
2014-11-26T15:35:00,58,162
2014-11-26T15:40:00,61,201
2014-11-26T15:45:00,64,93
2014-11-26T15:50:00,63,165
2014-11-26T15:55:00,59,175
2014-11-26T16:00:00,57,157
2014-11-26T16:05:00,57,90
2014-11-26T16:10:00,60,137
2014-11-26T16:15:00,45,121
2014-11-26T16:20:00,35,149
2014-11-26T16:25:00,31,97
2014-11-26T16:30:00,30,147
2014-11-26T16:35:00,37,196
2014-11-26T16:40:00,46,172
2014-11-26T16:45:00,57,180
2014-11-26T16:50:00,53,186
2014-11-26T16:55:00,52,111
2014-11-26T17:00:00,57,147
2014-11-26T17:05:00,62,137
2014-11-26T17:10:00,61,83
2014-11-26T17:15:00,64,138
2014-11-26T17:20:00,62,131
2014-11-26T17:25:00,56,108
2014-11-26T17:30:00,65,148
2014-11-26T17:35:00,53,112
2014-11-26T17:40:00,62,131
2014-11-26T17:45:00,70,77
2014-11-26T17:50:00,67,160
2014-11-26T17:55:00,72,130
2014-11-26T18:00:00,70,117
2014-11-26T18:05:00,61,165
2014-11-26T18:10:00,64,134
2014-11-26T18:15:00,71,76
2014-11-26T18:20:00,67,92
2014-11-26T18:25:00,64,61
2014-11-26T18:30:00,68,80
2014-11-26T18:35:00,72,121
2014-11-26T18:40:00,72,125
2014-11-26T18:45:00,71,124
2014-11-26T18:50:00,76,82
2014-11-26T18:55:00,75,135
2014-11-26T19:00:00,70,131
2014-11-26T19:05:00,74,87
2014-11-26T19:10:00,74,94
2014-11-26T19:15:00,66,93
2014-11-26T19:20:00,75,89
2014-11-26T19:25:00,66,92
2014-11-26T19:30:00,72,126
2014-11-26T19:35:00,52,132
2014-11-26T19:40:00,52,106
2014-11-26T19:45:00,58,73
2014-11-26T19:50:00,53,131
2014-11-26T19:55:00,67,44
2014-11-26T20:00:00,65,88
2014-11-26T20:05:00,61,96
2014-11-26T20:10:00,68,108
2014-11-26T20:15:00,70,94
2014-11-26T20:20:00,79,60
2014-11-26T20:25:00,72,76
2014-11-26T20:30:00,74,91
2014-11-26T20:35:00,71,79
2014-11-26T20:40:00,70,74
2014-11-26T20:45:00,73,66
2014-11-26T20:50:00,76,56
2014-11-26T20:55:00,77,96
2014-11-26T21:00:00,76,57
2014-11-26T21:05:00,74,53
2014-11-26T21:10:00,75,57
2014-11-26T21:15:00,79,76
2014-11-26T21:20:00,74,83
2014-11-26T21:25:00,77,58
2014-11-26T21:30:00,75,70
2014-11-26T21:35:00,71,56
2014-11-26T21:40:00,74,94
2014-11-26T21:45:00,77,82
2014-11-26T21:50:00,73,47
2014-11-26T21:55:00,72,69
2014-11-26T22:00:00,74,52
2014-11-26T22:05:00,75,40
2014-11-26T22:10:00,76,50
2014-11-26T22:15:00,77,73
2014-11-26T22:20:00,73,76
2014-11-26T22:25:00,75,63
2014-11-26T22:30:00,72,49
2014-11-26T22:35:00,71,38
2014-11-26T22:40:00,77,41
2014-11-26T22:45:00,76,56
2014-11-26T22:50:00,78,36
2014-11-26T22:55:00,80,34
2014-11-26T23:00:00,76,36
2014-11-26T23:05:00,77,63
2014-11-26T23:10:00,76,44
2014-11-26T23:15:00,74,40
2014-11-26T23:20:00,75,57
2014-11-26T23:25:00,74,25
2014-11-26T23:30:00,73,49
2014-11-26T23:35:00,75,35
2014-11-26T23:40:00,73,41
2014-11-26T23:45:00,74,53
2014-11-26T23:50:00,70,58
2014-11-26T23:55:00,73,33
